Sun Sep 22 20:36:24 2019    profiling

         871590 function calls (871587 primitive calls) in 14.336 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   171414    2.825    0.000    2.825    0.000 {built-in method _warnings.warn}
   171374    0.588    0.000   12.256    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\_internal.py:20(wrapper)
   131820    0.260    0.000    0.702    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:3217(map_set_properties)
   131820    0.442    0.000    0.442    0.000 {built-in method tcod._libtcod.TCOD_map_set_properties}
    39079    0.035    0.000    0.035    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\tcod.py:139(_console)
    38939    0.013    0.000    0.013    0.000 {built-in method builtins.ord}
    38924    0.022    0.000    0.022    0.000 {built-in method builtins.isinstance}
    38920    0.074    0.000    0.110    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\tcod.py:15(_int)
    38720    0.139    0.000    0.458    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:1239(console_put_char_ex)
    38720    0.176    0.000    0.176    0.000 {built-in method tcod._libtcod.TCOD_console_put_char_ex}
    11956    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
     3961    0.021    0.000    0.041    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\map_objects\tile.py:5(__init__)
     3887    0.003    0.000    0.003    0.000 {method 'getrandbits' of '_random.Random' objects}
     1949    0.006    0.000    0.009    0.000 C:\Program Files (x86)\Python37-32\lib\random.py:224(_randbelow)
     1949    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
     1939    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     1936    0.005    0.000    0.015    0.000 C:\Program Files (x86)\Python37-32\lib\random.py:256(choice)
      200    0.002    0.000    0.004    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:1219(console_put_char)
      200    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.TCOD_console_put_char}
      198    0.001    0.000    0.001    0.000 {method 'new' of 'CompiledFFI' objects}
      119    0.000    0.000    0.002    0.000 C:\Users\Adam\AppData\Roaming\Python\Python37\site-packages\tcod\libtcodpy.py:1185(console_set_default_foreground)
      119    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.TCOD_console_set_default_foreground}
      101    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      100    0.001    0.000    0.010    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\render_functions.py:29(draw_entity)
      100    0.000    0.000    0.004    0.000 C:\Users\Adam\Documents\GitHub\MirageRL\render_functions.py:33(clear_entity)
